Timestamp,Object,Confidence
2026-03-29 10:13:35,mouse,0.60
2026-03-29 10:13:35,mouse,0.91
2026-03-29 10:13:36,mouse,0.83
2026-03-29 10:13:36,mouse,0.78
2026-03-29 10:13:36,mouse,0.76
2026-03-29 10:13:37,mouse,0.80
2026-03-29 10:13:37,mouse,0.82
2026-03-29 10:13:37,mouse,0.81
2026-03-29 10:13:38,mouse,0.74
2026-03-29 10:13:38,mouse,0.90
2026-03-29 10:13:38,mouse,0.79
2026-03-29 10:13:38,mouse,0.86
2026-03-29 10:13:39,mouse,0.88
2026-03-29 10:13:39,mouse,0.86
2026-03-29 10:13:39,mouse,0.73
2026-03-29 10:13:40,mouse,0.82
2026-03-29 10:13:40,mouse,0.90
2026-03-29 10:13:40,mouse,0.92
2026-03-29 10:13:40,mouse,0.81
2026-03-29 10:13:41,mouse,0.92
2026-03-29 10:13:41,mouse,0.74
2026-03-29 10:13:41,mouse,0.77
2026-03-29 10:13:41,mouse,0.81
2026-03-29 10:13:42,mouse,0.94
2026-03-29 10:13:42,mouse,0.85
2026-03-29 10:13:42,mouse,0.88
2026-03-29 10:13:43,mouse,0.95
2026-03-29 10:13:45,mouse,0.61
2026-03-29 10:13:46,mouse,0.56
2026-03-29 10:13:46,mouse,0.90
2026-03-29 10:13:46,mouse,0.91
2026-03-29 10:13:47,mouse,0.59
2026-03-29 10:13:47,mouse,0.66
2026-03-29 10:13:47,bottle,0.79
2026-03-29 10:13:48,bottle,0.72
2026-03-29 10:13:48,bottle,0.92
2026-03-29 10:13:48,bottle,0.92
2026-03-29 10:13:49,bottle,0.92
2026-03-29 10:13:49,bottle,0.94
2026-03-29 10:13:49,bottle,0.95
2026-03-29 10:13:49,bottle,0.85
2026-03-29 10:13:49,person,0.54
2026-03-29 10:13:50,bottle,0.88
2026-03-29 10:13:50,person,0.70
2026-03-29 10:13:50,bottle,0.88
2026-03-29 10:13:50,person,0.52
2026-03-29 10:13:50,bottle,0.87
2026-03-29 10:13:50,person,0.56
2026-03-29 10:13:51,bottle,0.92
2026-03-29 10:13:51,person,0.56
2026-03-29 10:13:51,bottle,0.86
2026-03-29 10:13:51,bottle,0.92
2026-03-29 10:13:51,bottle,0.91
2026-03-29 10:13:52,bottle,0.86
2026-03-29 10:13:52,bottle,0.80
2026-03-29 10:13:52,bottle,0.89
2026-03-29 10:13:53,bottle,0.90
2026-03-29 10:13:53,bottle,0.90
2026-03-29 10:13:53,bottle,0.89
2026-03-29 10:13:54,bottle,0.89
2026-03-29 10:13:54,bottle,0.85
2026-03-29 10:13:54,person,0.67
2026-03-29 10:13:54,laptop,0.53
2026-03-29 10:13:54,bottle,0.89
2026-03-29 10:13:54,person,0.62
2026-03-29 10:13:55,bottle,0.84
2026-03-29 10:13:55,person,0.64
2026-03-29 10:13:55,bottle,0.94
2026-03-29 10:13:55,person,0.67
2026-03-29 10:13:56,bottle,0.93
2026-03-29 10:13:56,person,0.63
2026-03-29 10:13:56,toilet,0.75
2026-03-29 10:13:56,tv,0.71
2026-03-29 10:13:56,laptop,0.50
2026-03-29 10:13:56,tv,0.77
2026-03-29 10:13:56,toilet,0.74
2026-03-29 10:13:56,laptop,0.63
2026-03-29 10:13:56,toilet,0.63
2026-03-29 10:13:56,tv,0.62
2026-03-29 10:13:57,sink,0.66
2026-03-29 10:13:57,tv,0.63
2026-03-29 10:13:57,laptop,0.61
2026-03-29 10:13:57,laptop,0.67
2026-03-29 10:13:57,toilet,0.63
